label {9},style {2},name {7}
ITM_INFO_001_Name,21,伟大巨树的栽种方法
ITM_INFO_002_Name,21,拜亚斯的狩猎知识
ITM_INFO_003_Name,21,凯法柊树的特性
ITM_INFO_004_Name,21,塔兹的行踪情报
ITM_INFO_005_Name,21,塔兹的目击情报
ITM_INFO_006_Name,21,依卢弗搭档的情报
ITM_INFO_007_Name,21,依卢弗搭档的情报
ITM_INFO_008_Name,21,尼洛普式超钢铁精制法
ITM_INFO_009_Name,21,司令的夜间工作场所
ITM_INFO_010_Name,0,
ITM_INFO_011_Name,21,成为候选人所需的情报①
ITM_INFO_012_Name,21,成为候选人所需的情报②
ITM_INFO_013_Name,21,成为候选人所需的情报③
ITM_INFO_014_Name,0,
ITM_INFO_015_Name,0,
ITM_INFO_016_Name,0,
ITM_INFO_017_Name,0,
ITM_INFO_018_Name,21,杰洛姆的所在位置
ITM_INFO_019_Name,0,
ITM_INFO_020_Name,0,
ITM_INFO_021_Name,21,气流结晶的所在地
ITM_INFO_022_Name,21,狙击手的情报
ITM_INFO_023_Name,21,玛侬人的精彩表现
ITM_INFO_024_Name,21,玛侬人的精彩表现
ITM_INFO_025_Name,21,咖喱食谱
ITM_INFO_026_Name,21,北京烤鸭食谱
ITM_INFO_027_Name,21,黑暗火锅食谱
ITM_INFO_028_Name,21,戴菲尼亚密码
ITM_INFO_029_Name,21,恩勾勾的食谱
ITM_INFO_030_Name,21,皮拉皮拉的食谱
ITM_INFO_031_Name,21,瓦拉瓦的食谱
ITM_INFO_032_Name,0,
ITM_INFO_033_Name,0,
ITM_INFO_034_Name,0,
ITM_INFO_035_Name,21,事件的情报1
ITM_INFO_036_Name,21,事件的情报2
ITM_INFO_037_Name,21,事件的情报3
ITM_INFO_038_Name,0,
ITM_INFO_039_Name,0,
ITM_INFO_040_Name,0,
ITM_INFO_041_Name,0,
ITM_INFO_042_Name,21,艾夏的所在位置
ITM_INFO_043_Name,0,
ITM_INFO_044_Name,0,
ITM_INFO_045_Name,0,
ITM_INFO_046_Name,21,狙击犯的目击情报1
ITM_INFO_047_Name,21,狙击犯的目击情报2
ITM_INFO_048_Name,21,狙击犯的目击情报3
ITM_INFO_049_Name,0,
ITM_INFO_050_Name,21,炸弹的知识
ITM_INFO_051_Name,21,玛侬人的精彩表现
ITM_INFO_052_Name,21,森欧萨拉格目击情报
ITM_INFO_053_Name,21,森欧萨拉格目击情报
ITM_INFO_054_Name,21,赛莉卡的行踪
ITM_INFO_055_Name,21,洛克的行踪
ITM_INFO_056_Name,0,
ITM_INFO_057_Name,0,
ITM_INFO_058_Name,0,
ITM_INFO_059_Name,0,
ITM_INFO_060_Name,0,
ITM_INFO_061_Name,0,
ITM_INFO_062_Name,21,墓碑的情报
ITM_INFO_063_Name,21,墓碑的情报
ITM_INFO_064_Name,21,墓碑的情报
ITM_INFO_065_Name,21,运作日志
ITM_INFO_066_Name,21,漂泊者的情报1
ITM_INFO_067_Name,21,漂泊者的情报2
ITM_INFO_068_Name,21,漂泊者的情报3
ITM_INFO_069_Name,21,巨大家伙的情报
ITM_INFO_070_Name,21,巨大家伙的情报
ITM_INFO_071_Name,21,巨大家伙的情报
ITM_INFO_072_Name,21,巨大家伙的情报
ITM_INFO_073_Name,21,瑟尼拉帕水的提示
ITM_INFO_074_Name,0,
ITM_INFO_075_Name,21,白鲸坠落时的情报1
ITM_INFO_076_Name,21,白鲸坠落时的情报2
ITM_INFO_077_Name,21,白鲸坠落时的情报3
ITM_INFO_078_Name,21,偏远小岛的情报
ITM_INFO_079_Name,21,蟑螂的情报
